# BOOSTER PV FLATLIST
# ===================
#
# Lists all BO PVs implemented in the Virtual Accelerator Channel Access
#
# TIMESTAMP: 2016-01-11 09:45:11  (by sirius-pvs-generate-flatlist.py)
#


# --- TI (timing) ---

BOTI-RAMPPS-ENABLED                               DESCRIPTION_IS_MISSING
BOTI-RAMPPS-DELAY                                 DESCRIPTION_IS_MISSING
BOTI-KICKINJ-ENABLED                              DESCRIPTION_IS_MISSING
BOTI-KICKINJ-DELAY                                DESCRIPTION_IS_MISSING
BOTI-KICKEX-INC                                   DESCRIPTION_IS_MISSING
BOTI-KICKEX-ENABLED                               DESCRIPTION_IS_MISSING
BOTI-KICKEX-DELAY                                 DESCRIPTION_IS_MISSING


# --- RF (radio-frequency) ---

BORF-VOLTAGE                                      DESCRIPTION_IS_MISSING
BORF-FREQUENCY                                    DESCRIPTION_IS_MISSING


# --- PS (power supplies - families) ---

BOPS-BEND-FAM-A                                   DESCRIPTION_IS_MISSING
BOPS-BEND-FAM-B                                   DESCRIPTION_IS_MISSING
BOPS-SF-FAM                                       DESCRIPTION_IS_MISSING
BOPS-SD-FAM                                       DESCRIPTION_IS_MISSING
BOPS-QF-FAM                                       DESCRIPTION_IS_MISSING
BOPS-QD-FAM                                       DESCRIPTION_IS_MISSING


# --- PS (power supplies - vertical correctors) ---

BOPS-CV-49-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-47-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-45-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-43-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-41-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-39-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-37-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-35-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-33-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-31-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-29-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-27-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-25-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-23-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-21-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-19-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-17-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-15-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-13-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-11-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-09-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-07-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-05-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-03-U                                      DESCRIPTION_IS_MISSING
BOPS-CV-01-U                                      DESCRIPTION_IS_MISSING


# --- PS (power supplies - horizontal correctors) ---

BOPS-CH-49-D                                      DESCRIPTION_IS_MISSING
BOPS-CH-47-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-45-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-43-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-41-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-39-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-37-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-35-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-33-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-31-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-29-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-27-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-25-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-23-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-21-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-19-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-17-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-15-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-13-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-11-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-09-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-07-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-05-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-03-U                                      DESCRIPTION_IS_MISSING
BOPS-CH-01-U                                      DESCRIPTION_IS_MISSING


# --- PA (parameters) ---

BOPA-SIGY                                         DESCRIPTION_IS_MISSING
BOPA-SIGX                                         DESCRIPTION_IS_MISSING
BOPA-SIGS                                         DESCRIPTION_IS_MISSING
BOPA-LIFETIME                                     DESCRIPTION_IS_MISSING
BOPA-INJEFF                                       DESCRIPTION_IS_MISSING
BOPA-EXTEFF                                       DESCRIPTION_IS_MISSING
BOPA-EMITY                                        DESCRIPTION_IS_MISSING
BOPA-EMITX                                        DESCRIPTION_IS_MISSING
BOPA-CHROMY                                       DESCRIPTION_IS_MISSING
BOPA-CHROMX                                       DESCRIPTION_IS_MISSING
BOPA-BLIFETIME                                    DESCRIPTION_IS_MISSING


# --- FK (fake virtual accelerator PVs) ---

BOFK-SF-POS                                       DESCRIPTION_IS_MISSING
BOFK-SD-POS                                       DESCRIPTION_IS_MISSING
BOFK-SAVEFLATFILE                                 DESCRIPTION_IS_MISSING


# --- FK (fake virtual accelerator PVs - vertical misalignments) ---

BOFK-QF-POS                                       DESCRIPTION_IS_MISSING
BOFK-QD-POS                                       DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-50-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-48-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-46-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-44-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-42-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-40-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-38-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-36-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-34-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-32-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-30-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-28-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-26-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-24-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-22-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-20-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-18-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-16-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-14-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-12-U                               DESCRIPTION_IS_MISSING
BOFK-ERRORY-SF-10-U                               DESCRIPTION_IS_MISSING
