# SIRIUS STORAGE RING PV FLATLIST
# ===============================
#
# Lists all SI PVs implemented in the Virtual Accelerator Channel Access
#
# TIMESTAMP: 2016-01-11 14:58:06  (by sirius-pvs-generate-flatlist.py)
#

# --- TI (timing) ---

SITI-PMM-DELAY                                    DESCRIPTION_IS_MISSING
SITI-KICKINJ-ENABLED                              DESCRIPTION_IS_MISSING
SITI-KICKINJ-DELAY                                DESCRIPTION_IS_MISSING
SITI-PMM-ENABLED                                  DESCRIPTION_IS_MISSING


# --- RF (radio-frequency) ---

SIRF-VOLTAGE                                      DESCRIPTION_IS_MISSING
SIRF-FREQUENCY                                    DESCRIPTION_IS_MISSING


# --- PS (power supplies - families) ---

SIPS-BEND-FAM                                     DESCRIPTION_IS_MISSING
SIPS-SFA-FAM                                      DESCRIPTION_IS_MISSING
SIPS-QFA-FAM                                      DESCRIPTION_IS_MISSING
SIPS-SDA-FAM                                      DESCRIPTION_IS_MISSING
SIPS-QDA-FAM                                      DESCRIPTION_IS_MISSING
SIPS-SD1J-FAM                                     DESCRIPTION_IS_MISSING
SIPS-QF1-FAM                                      DESCRIPTION_IS_MISSING
SIPS-SF1J-FAM                                     DESCRIPTION_IS_MISSING
SIPS-QF2-FAM                                      DESCRIPTION_IS_MISSING
SIPS-SD2J-FAM                                     DESCRIPTION_IS_MISSING
SIPS-SD3J-FAM                                     DESCRIPTION_IS_MISSING
SIPS-QF3-FAM                                      DESCRIPTION_IS_MISSING
SIPS-SF2J-FAM                                     DESCRIPTION_IS_MISSING
SIPS-QF4-FAM                                      DESCRIPTION_IS_MISSING
SIPS-SF2K-FAM                                     DESCRIPTION_IS_MISSING
SIPS-SD3K-FAM                                     DESCRIPTION_IS_MISSING
SIPS-SD2K-FAM                                     DESCRIPTION_IS_MISSING
SIPS-SF1K-FAM                                     DESCRIPTION_IS_MISSING
SIPS-SD1K-FAM                                     DESCRIPTION_IS_MISSING
SIPS-QDB1-FAM                                     DESCRIPTION_IS_MISSING
SIPS-SDB-FAM                                      DESCRIPTION_IS_MISSING
SIPS-QFB-FAM                                      DESCRIPTION_IS_MISSING
SIPS-SFB-FAM                                      DESCRIPTION_IS_MISSING
SIPS-QDB2-FAM                                     DESCRIPTION_IS_MISSING


# --- PS (power supplies - individual sextupoles) ---

SIPS-SFB-20M1                                     DESCRIPTION_IS_MISSING
SIPS-SFB-19M1                                     DESCRIPTION_IS_MISSING
SIPS-SFB-18M1                                     DESCRIPTION_IS_MISSING
SIPS-SFB-17M1                                     DESCRIPTION_IS_MISSING
SIPS-SFB-16M1                                     DESCRIPTION_IS_MISSING
