# LINAC-BOOSTER TRANSPORT LINE PV FLATLIST
# ========================================
#
# Lists all TB PVs implemented in the Virtual Accelerator Channel Access
#
# TIMESTAMP: 2016-01-27 17:20:34  (by sirius-recordnames-generate-flatlist.py)
#


# --- TI (timing) ---

TBTI-SEPTUMINJ-ENABLED                            DESCRIPTION_IS_MISSING
TBTI-SEPTUMINJ-DELAY                              DESCRIPTION_IS_MISSING


# --- PU (pulsed magnets) ---

TBPU-SEPIN-05                                     DESCRIPTION_IS_MISSING


# --- PS (power supplies)

TBPS-QF-05                                        DESCRIPTION_IS_MISSING
TBPS-QF-04                                        DESCRIPTION_IS_MISSING
TBPS-QF-03-B                                      DESCRIPTION_IS_MISSING
TBPS-QF-03-A                                      DESCRIPTION_IS_MISSING
TBPS-QF-02                                        DESCRIPTION_IS_MISSING
TBPS-QD-05                                        DESCRIPTION_IS_MISSING
TBPS-QD-04                                        DESCRIPTION_IS_MISSING
TBPS-QD-03-B                                      DESCRIPTION_IS_MISSING
TBPS-QD-03-A                                      DESCRIPTION_IS_MISSING
TBPS-QD-02                                        DESCRIPTION_IS_MISSING
TBPS-Q1C-01                                       DESCRIPTION_IS_MISSING
TBPS-Q1B-01                                       DESCRIPTION_IS_MISSING
TBPS-Q1A-01-B                                     DESCRIPTION_IS_MISSING
TBPS-Q1A-01-A                                     DESCRIPTION_IS_MISSING
TBPS-CV-05-B                                      DESCRIPTION_IS_MISSING
TBPS-CV-05-A                                      DESCRIPTION_IS_MISSING
TBPS-CV-03-B                                      DESCRIPTION_IS_MISSING
TBPS-CV-03-A                                      DESCRIPTION_IS_MISSING
TBPS-CV-02-B                                      DESCRIPTION_IS_MISSING
TBPS-CV-02-A                                      DESCRIPTION_IS_MISSING
TBPS-CH-04                                        DESCRIPTION_IS_MISSING
TBPS-CH-03-B                                      DESCRIPTION_IS_MISSING
TBPS-CH-03-A                                      DESCRIPTION_IS_MISSING
TBPS-CH-02-B                                      DESCRIPTION_IS_MISSING
TBPS-CH-02-A                                      DESCRIPTION_IS_MISSING
TBPS-BEND-04                                      DESCRIPTION_IS_MISSING
TBPS-BEND-03                                      DESCRIPTION_IS_MISSING
TBPS-BEND-02                                      DESCRIPTION_IS_MISSING
TBPS-BEND-01                                      DESCRIPTION_IS_MISSING

# --- DI (diagnostics - bpms) ---

TBDI-BPM-FAM:MONIT:Y                              DESCRIPTION_IS_MISSING
TBDI-BPM-FAM:MONIT:X                              DESCRIPTION_IS_MISSING
TBDI-BPM-05:MONIT:Y                               DESCRIPTION_IS_MISSING
TBDI-BPM-05:MONIT:X                               DESCRIPTION_IS_MISSING
TBDI-BPM-04:MONIT:Y                               DESCRIPTION_IS_MISSING
TBDI-BPM-04:MONIT:X                               DESCRIPTION_IS_MISSING
TBDI-BPM-03-B:MONIT:Y                             DESCRIPTION_IS_MISSING
